zip_miami_2016,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,40304,22649,56.2,11.1,401,2
 33012,65763,36719,55.8,8.1,616,1.8
 33013,28989,15263,52.7,8.7,143,1
 33014,32921,19542,59.4,7.7,323,1.8
 33015,54337,36212,66.6,6.5,607,1.8
 33016,40609,25558,62.9,8.7,288,1.2
 33018,40265,26383,65.5,5.4,523,2.1
 33030,25766,16184,62.8,11.5,137,1
 33031,5175,3503,67.7,8.5,8,0.3
 33032,31736,21076,66.4,12.7,142,0.8
 33033,40992,25325,61.8,13,338,1.6
 33034,17234,7831,45.4,18.8,40,0.6
 33035,12234,8732,71.4,10,221,2.9
 33039,489,377,77.1,19.9,0,0
 33054,23872,11932,50,10.9,289,2.7
 33055,37139,22372,60.2,10.5,471,2.4
 33056,27416,16935,61.8,16.3,259,1.8
 33101,0,0,-,-,0,-
 33109,485,267,55.1,0,0,0
 33122,95,49,51.6,0,0,0
 33125,49963,27778,55.6,6.1,602,2.3
 33126,44944,28601,63.6,9.5,284,1.1
 33127,24653,14560,59.1,14.6,93,0.7
 33128,6400,3852,60.2,15.2,25,0.8
 33129,10691,7591,71,4.5,379,5.2
 33130,21331,13787,64.6,3.8,195,1.5
 33131,13624,10048,73.8,3.9,298,3.1
 33132,10671,6953,65.2,4.3,224,3.4
 33133,27919,18408,65.9,8.2,355,2.1
 33134,36115,22906,63.4,4.8,557,2.6
 33135,33283,19318,58,11.9,113,0.7
 33136,11370,6519,57.3,21.9,80,1.6
 33137,20429,15117,74,7.6,540,3.9
 33138,24563,16449,67,9.3,695,4.7
 33139,33736,24486,72.6,4,705,3
 33140,18056,11075,61.3,4.8,402,3.8
 33141,34515,24147,70,5.9,567,2.5
 33142,43144,23424,54.3,16.4,249,1.3
 33143,26493,17993,67.9,7.1,333,2
 33144,24246,14018,57.8,10,109,0.9
 33145,27746,17884,64.5,7.6,307,1.9
 33146,13330,7408,55.6,4.8,185,2.6
 33147,35963,20684,57.5,15.5,471,2.7
 33149,9748,5442,55.8,4.7,163,3.1
 33150,21110,12511,59.3,19.2,166,1.6
 33154,11225,6595,58.8,5.5,253,4.1
 33155,39359,25289,64.3,5.9,677,2.8
 33156,26528,16127,60.8,5.7,326,2.1
 33157,53469,33469,62.6,8.7,489,1.6
 33158,5519,3483,63.1,5.7,74,2.3
 33160,34908,20478,58.7,4.4,379,1.9
 33161,44314,27445,61.9,12.1,253,1.1
 33162,38034,24019,63.2,12.5,336,1.6
 33165,48738,29045,59.6,5.1,639,2.3
 33166,20819,12220,58.7,7.4,149,1.3
 33167,16610,9637,58,11.5,203,2.4
 33168,23741,14737,62.1,12.3,141,1.1
 33169,31932,20863,65.3,13.5,442,2.4
 33170,10834,5988,55.3,9,122,2.2
 33172,34324,22603,65.9,6.3,462,2.2
 33173,27582,17765,64.4,6.9,296,1.8
 33174,28581,16441,57.5,6.6,211,1.4
 33175,47092,28596,60.7,5.7,576,2.1
 33176,42068,27915,66.4,7.3,675,2.6
 33177,47245,29240,61.9,8,269,1
 33178,34819,23224,66.7,4.6,1070,4.8
 33179,35995,23586,65.5,10,538,2.5
 33180,27205,14873,54.7,6.2,449,3.2
 33181,15677,10228,65.2,8.4,154,1.6
 33182,16038,8139,50.7,6.7,233,3.1
 33183,32366,20859,64.4,7.4,337,1.7
 33184,19147,11014,57.5,7.2,77,0.8
 33185,25136,16446,65.4,6.2,463,3
 33186,57026,38339,67.2,7.2,834,2.3
 33187,14997,9532,63.6,7.1,58,0.7
 33189,20510,13519,65.9,7.1,278,2.2
 33190,10830,7645,70.6,8.4,170,2.4
 33193,41673,26837,64.4,6.8,349,1.4
 33194,5976,2580,43.2,7,0,0
 33196,38601,25284,65.5,6.9,555,2.4
"Miami CCD, Miami-Dade County, Florida",795177,488271,61.4,9.8,9242,2.1
